,listing__statPrice,product-subtitle,Model,Box,Papers,Age,Movement,ConditionGrade,CaseSize,Case,Dial,Bracelet,LOT,Location,Seller
477,4811.5355,Datejust,16013,Yes,Yes,1986,automatic,A,36mm,StainlessSteelandYellowGold,ChampagneBaton,SteelandYellowGoldJubilee,#001765,"Harrogate,NorthYorkshire,UnitedKingdom",
478,39597.636750000005,Daytona,116500LN,Yes,Yes,2018,automatic,AA,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#001762,"Warrington,Cheshire,UnitedKingdom",
479,25373.50836,Daytona,116520,Yes,No,2003,automatic,A,40mm,StainlessSteel,WhiteBaton,StainlessSteelOyster,#001750,"Averham,Nottinghamshire,UnitedKingdom",
480,16656.86775,Sea-Dweller,126600,Yes,Yes,2022,automatic,AA,43mm,StainlessSteel,Black,StainlessSteelOyster,#,"Ipswich,Suffolk,UnitedKingdom",
481,5000.0,OysterPerpetual,114200,Yes,Yes,2017,automatic,A,34mm,StainlessSteel,GrapeBaton,StainlessSteelOyster,#001745,"Denville,NewJersey,USA",
482,53889.86625,Daytona,116509,Yes,Yes,2021,automatic,AA,40mm,WhiteGold,BlackWithDiamond,WhiteGoldOyster,#001744,"Middlesborough,NorthYorkshire,UnitedKingdom",
483,25464.075,GMT-MasterII,126711CHNR,Yes,Yes,2020,automatic,A,40mm,SteelandRoseGold,Black,SteelandRoseGoldOyster,#001740,"London,UnitedKingdom",
484,55498.625,Daytona,116509,Yes,Yes,2020,automatic,AA,40mm,WhiteGold,SteelBaton,WhiteGoldOyster,#001738,"Middlesbrough,NorthYorkshire,UnitedKingdom",
485,19391.872499999998,GMT-MasterII,116710BLNR,Yes,Yes,2018,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#001737,"Wimbledon,London,UnitedKingdom",
486,11132.212,Air-King,116900,Yes,Yes,2021,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#001731,"London,UnitedKingdom",
487,20505.539249999998,Sky-Dweller,326933,Yes,Yes,2019,automatic,AAA,42mm,StainlessSteelandYellowGold,BrightBlackBaton,SteelandYellowGoldOyster,#001726,"Fulham,London,UnitedKingdom",
488,47863.7145,OysterPerpetual41,124300-0006,Yes,Yes,2021,automatic,AA,41mm,StainlessSteel,TurquoiseBaton,StainlessSteelOyster,#001719,"Gloucester,Gloucestershire,UnitedKingdom",
489,16605.7785,DEEPSEASEA-DWELLER,116660,Yes,Yes,2018,automatic,A,44mm,StainlessSteel,BlueBlackGradient,StainlessSteelOyster,#001721,"Norwich,Norfolk,UnitedKingdom",
490,8595.9324,Datejust31,278274,Yes,Yes,2021,automatic,AA,31mm,StainlessSteelandWhiteGold,PinkBaton,StainlessSteelJubilee,#001720,"Marlborough,Wiltshire,UnitedKingdom",
491,60236.6475,Sky-Dweller,326935,Yes,Yes,2019,automatic,AAA,42mm,RoseGold,SlateBaton,RoseGoldOyster,#001713,"Fulham,London,UnitedKingdom",
492,45558.441719999995,Daytona,116528,No,No,2002,automatic,A,40mm,YellowGoldOyster,MotherofPearlRomanNumeral,YellowGoldOyster,#001707,"Fulham,London,UnitedKingdom",
493,5337.503000000001,OysterPerpetual31,277200,Yes,Yes,2020,automatic,AA,31mm,StainlessSteel,BlueBaton,StainlessSteelOyster,#001716,"Marlborough,Wiltshire,UnitedKingdom",
494,33847.58,Daytona,116520,Yes,Yes,2013,automatic,A,40mm,StainlessSteel,White,StainlessSteelOyster,#001714,"London,UnitedKingdom",
495,18895.095,Day-Date36,18038,Yes,Yes,1988,automatic,A,36mm,YellowGold,WhiteBaton,YellowGoldPresident,#001709,"Guildford,Surrey,UnitedKingdom",
496,12011.621200000001,Submariner,114060,Yes,Yes,2013,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#001703,"Wirral,Merseyside,UnitedKingdom",
497,31388.352,Submariner,116610LV,Yes,Yes,2020,automatic,A,40mm,StainlessSteel,Green,StainlessSteelOyster,#001696,"Henley-on-Thames,Oxfordshire,UnitedKingdom",
498,14059.365999999998,Datejust36,126231,Yes,Yes,2020,automatic,A,36mm,StainlessSteelandRoseGold,SlateRomanNumeral,SteelandRoseGoldJubilee,#001683,"Nottingham,Nottinghamshire.,UnitedKingdom",
499,9356.25405,Datejust41,126300,Yes,Yes,2020,automatic,A,41mm,StainlessSteel,BlueRomanNumeral,StainlessSteelOyster,#001691,"Ilford,London,UnitedKingdom",
500,2747.9907000000003,Prince,1541,Yes,No,1937,manual,B,20mmx40mm,YellowGold,White,BlackCrocodileLeather,#001686,"Guildford,Surrey,UnitedKingdom",
501,42016.62927,Daytona,116528,No,No,2000,automatic,A,40mm,YellowGold,White,YellowGoldOyster,#001634,"MiltonKeynes,Buckinghamshire,UnitedKingdom",
502,6557.25,Datejust,16233,Yes,Yes,1997,automatic,AA,36mm,SteelandGold,Champagne,SteelandGoldJubilee,#001681,"HenleyonThames,UnitedKingdom",
503,46294.185,OysterPerpetual41,124300-0006,Yes,Yes,2020,automatic,AA,41mm,StainlessSteel,TurquoiseBaton,StainlessSteelOyster,#001678,"London,UnitedKingdom",
504,18032.4375,Submariner,16610LV,Yes,Yes,2007,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#001665,"Reigate,Surrey,UnitedKingdom",
